Link incidecoder,brand,short_product_name,date_upload,incide_enDescription,incide_ingredients,incide_imageKey,process,productName,productName_clean,incide_productName,isTrue_productName
https://incidecoder.com/products/chacott-for-professional-cleansing-water,Chacott,For  Professional Cleansing Water,03/18/2021,"*hypoallergenic cleansing.
*oil-free, fragrance-free, colorant-free, paraben-free and alcohol-free.
*gentle to the eyelashes.
*remove easily with cotton patting puff.
*no rinsing or additional moisturizer necessary.","Water (Aqua), Dipropylene Glycol, PEG-6 Caprylic/​Capric Glycerides, Rosmarinus Officinalis (Rosemary) Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Aloe Barbadensis Leaf Extract, Allantoin, Silver Oxide, Phytic Acid, Arginine, Citric Acid, Sodium Citrate, Phenoxyethanol, Butylene Glycol, Artemisia Capillaris Flower Extract, Eugenia Caryophyllus (Clove) Flower Extract, Glyceryl Caprylate",https://incidecoder-content.storage.googleapis.com/114bb328-d085-45e9-878d-b14715573e04/products/chacott-for-professional-cleansing-water/chacott-for-professional-cleansing-water_front_photo_original.jpeg,Success,Chacott for Professionals Cleansing Water,Chacott for Professionals Cleansing Water,Chacott For  Professional Cleansing Water,True
,,,,,,,None link found,The Auragins Skin Rescue Brightening Gel Cream ,The Auragins Skin Rescue Brightening Gel Cream,,False
,,,,,,,None link found,The Auragins Acne Rescue Patch,The Auragins Acne Rescue Patch,,True
,,,,,,,None link found,The Auragins Sulcharia Deep Pore Clarifying Clay Mask,The Auragins Sulcharia Deep Pore Clarifying Clay Mask,,True
,,,,,,,None link found,The Auragins Oil Balancing Gel Cleanser,The Auragins Oil Balancing Gel Cleanser,,True
,,,,,,,None link found,The Auragins Glow Complexion Serum 14% Vitamin C + 6 Berries ExtractsThe Auragins Glow Complexion Serum 14% Vitamin C + 6 Berries Extracts,The Auragins Glow Complexion Serum,,False
https://incidecoder.com/products/the-auragins-gentle-brightening-toner,The Auragins,Gentle Brightening Toner,01/30/2021,"The powerful combination removes dead skin cells, treats hyperpigmentation, and reduces the appearance of fine lines. Further powered by niacinamide, the vitamin b3 improves skin barrier and minimizes enlarged pores, thus leaving your skin radiant and protected against further damage","Water, Butylene Glycol, Dipropylene Glycol, Glycerin, Niacinamide, Polyglyceryl-4 Caprate, Melaleuca Alternifolia (Tea Tree) Leaf Water, Solanum Melongena (Eggplant) Fruit Extract, Sodium Hyaluronate, Hydroxyethyl Urea, Betaine, Xylitylglucoside, Anhydroxylitol, Xylitol, Allantoin, Lupeol, Lactobionic Acid, Glucose, Adenosine, Citric Acid, Sodium Citrate, Benzyl Glycol, Ethylhexylglycerin, Raspberry Ketone, 1,2-Hexanediol, Fragrance",https://incidecoder-content.storage.googleapis.com/d1d54956-ea9d-43ad-8764-0fc638886b16/products/the-auragins-gentle-brightening-toner/the-auragins-gentle-brightening-toner_front_photo_original.jpeg,Success,The Auragins 10% Niacinamide + 1% Zinc Acne Clear Brightening Serum,The Auragins,The Auragins Gentle Brightening Toner,False
https://incidecoder.com/products/the-auragins-gentle-brightening-toner,The Auragins,Gentle Brightening Toner,01/30/2021,"The powerful combination removes dead skin cells, treats hyperpigmentation, and reduces the appearance of fine lines. Further powered by niacinamide, the vitamin b3 improves skin barrier and minimizes enlarged pores, thus leaving your skin radiant and protected against further damage","Water, Butylene Glycol, Dipropylene Glycol, Glycerin, Niacinamide, Polyglyceryl-4 Caprate, Melaleuca Alternifolia (Tea Tree) Leaf Water, Solanum Melongena (Eggplant) Fruit Extract, Sodium Hyaluronate, Hydroxyethyl Urea, Betaine, Xylitylglucoside, Anhydroxylitol, Xylitol, Allantoin, Lupeol, Lactobionic Acid, Glucose, Adenosine, Citric Acid, Sodium Citrate, Benzyl Glycol, Ethylhexylglycerin, Raspberry Ketone, 1,2-Hexanediol, Fragrance",https://incidecoder-content.storage.googleapis.com/d1d54956-ea9d-43ad-8764-0fc638886b16/products/the-auragins-gentle-brightening-toner/the-auragins-gentle-brightening-toner_front_photo_original.jpeg,Success,The Auragins 8% Vitamin B5 + Hyaluronic Acid Rehydrating Serum,The Auragins,The Auragins Gentle Brightening Toner,False
https://incidecoder.com/products/the-auragins-gentle-brightening-toner,The Auragins,Gentle Brightening Toner,01/30/2021,"The powerful combination removes dead skin cells, treats hyperpigmentation, and reduces the appearance of fine lines. Further powered by niacinamide, the vitamin b3 improves skin barrier and minimizes enlarged pores, thus leaving your skin radiant and protected against further damage","Water, Butylene Glycol, Dipropylene Glycol, Glycerin, Niacinamide, Polyglyceryl-4 Caprate, Melaleuca Alternifolia (Tea Tree) Leaf Water, Solanum Melongena (Eggplant) Fruit Extract, Sodium Hyaluronate, Hydroxyethyl Urea, Betaine, Xylitylglucoside, Anhydroxylitol, Xylitol, Allantoin, Lupeol, Lactobionic Acid, Glucose, Adenosine, Citric Acid, Sodium Citrate, Benzyl Glycol, Ethylhexylglycerin, Raspberry Ketone, 1,2-Hexanediol, Fragrance",https://incidecoder-content.storage.googleapis.com/d1d54956-ea9d-43ad-8764-0fc638886b16/products/the-auragins-gentle-brightening-toner/the-auragins-gentle-brightening-toner_front_photo_original.jpeg,Success,The Auragins 7.5% AHA + 0.5% BHA Gentle Peeling Serum,The Auragins,The Auragins Gentle Brightening Toner,False
https://incidecoder.com/products/the-auragins-gentle-brightening-toner,The Auragins,Gentle Brightening Toner,01/30/2021,"The powerful combination removes dead skin cells, treats hyperpigmentation, and reduces the appearance of fine lines. Further powered by niacinamide, the vitamin b3 improves skin barrier and minimizes enlarged pores, thus leaving your skin radiant and protected against further damage","Water, Butylene Glycol, Dipropylene Glycol, Glycerin, Niacinamide, Polyglyceryl-4 Caprate, Melaleuca Alternifolia (Tea Tree) Leaf Water, Solanum Melongena (Eggplant) Fruit Extract, Sodium Hyaluronate, Hydroxyethyl Urea, Betaine, Xylitylglucoside, Anhydroxylitol, Xylitol, Allantoin, Lupeol, Lactobionic Acid, Glucose, Adenosine, Citric Acid, Sodium Citrate, Benzyl Glycol, Ethylhexylglycerin, Raspberry Ketone, 1,2-Hexanediol, Fragrance",https://incidecoder-content.storage.googleapis.com/d1d54956-ea9d-43ad-8764-0fc638886b16/products/the-auragins-gentle-brightening-toner/the-auragins-gentle-brightening-toner_front_photo_original.jpeg,Success,The Auragins Gentle Brightening Toner,The Auragins Gentle Brightening Toner,The Auragins Gentle Brightening Toner,True
